stockid,tsn,scientificname,commonname,areaid,stocklong,region,area_overlap_perc,SSB,SSB_units,TB,TB_units,TC,TC_units,TL,TL_units,assessmethod,biomass,catch,survey_biomass_uncorrected,survey_biomass_corrected
HADVIIb-k,164744,Melanogrammus aeglefinus,Haddock,multinational-ICES-VIIb-k,Haddock ICES VIIb-k,European Union,51.88669098,30100,MT,58733.33333,MT,13583.33333,MT,7855,MT,Unknown,58733.33333,13583.33333,73440.71042,316270.1327
BOCACCSPCOAST,166733,Sebastes paucispinis,Bocaccio,USA-NMFS-SPCOAST,Bocaccio Southern Pacific Coast,US West Coast,56.40036379,NA,NA,7641.666667,MT,99,MT,NA,NA,SS3,7641.666667,99,1037.144373,3400.473353
CABEZSCAL,692068,Scorpaenichthys marmoratus,Cabezon,USA-NMFS-SCAL,Cabezon Southern California,US West Coast,56.40036379,110.6666667,MT,716.3333333,MT,19.16666667,MT,10.08333333,MT,SS3,716.3333333,19.16666667,1.072551742,3.300159208
CHILISPCOAST,166722,Sebastes goodei,Chilipepper,USA-NMFS-SPCOAST,Chilipepper Southern Pacific Coast,US West Coast,56.40036379,NA,E00larvae,27716.66667,MT,288.1,MT,NA,NA,SS3,27716.66667,288.1,9372.083369,30728.14219
COWCODSCAL,166754,Sebastes levis,Cowcod,USA-NMFS-SCAL,Cowcod Southern California,US West Coast,56.40036379,347.6666667,MT,695,MT,1.283333333,MT,NA,NA,XDB-SRA,695,1.283333333,426.3499884,1397.868814
GOPHERSPCOAST,166767,Sebastes carnatus,Gopher rockfish,USA-NMFS-SPCOAST,Gopher rockfish Southern Pacific Coast,US West Coast,56.40036379,2186.666667,MT,2776.666667,MT,113.52,MT,NA,NA,SS2,2776.666667,113.52,0.492612357,1.615122481
LINGCODSPCOAST,167116,Ophiodon elongatus,Lingcod,USA-NMFS-SPCOAST,Lingcod Southern Pacific Coast,US West Coast,56.40036379,5738.333333,MT,14470,MT,NA,NA,454.3333333,MT,SS3,14470,454.3333333,6310.305045,19416.32322
SABLEFPCAN,167123,Anoplopoma fimbria,Sablefish,Canada-DFO-PCOAST,Sablefish Pacific Coast of Canada,Canada West Coast,56.53869417,22750,MT,34066.66667,MT,NA,NA,3411.666667,MT,BSPM,34066.66667,3411.666667,63028.33057,193933.3248
SPRAT22-32,161789,Sprattus sprattus,Sprat,multinational-ICES-22-32,Sprat ICES Baltic Areas 22-32,European Union,57.13402922,1103000,MT,1885000,MT,360166.6667,MT,360166.6667,MT,Unknown,1885000,360166.6667,97259.52978,378518.2572
HMACKIXa,168588,Trachurus trachurus,Horse mackerel,multinational-ICES-IXa,Horse mackerel Portugese Waters -East,European Union,57.49923221,370166.6667,MT,NA,NA,23083.33333,MT,23083.33333,MT,Unknown,370166.6667,23083.33333,20909.27873,85376.45905
WPOLLEBS,164722,Gadus chalcogrammus,Walleye pollock,USA-NMFS-EBS,Walleye pollock Eastern Bering Sea,US Alaska,59.75015153,3330000,MT,10520000,MT,1408333.333,MT,NA,NA,IA,10520000,1408333.333,3577737.015,14753554.7
HERRVIaVIIbc,161722,Clupea harengus,Herring,multinational-ICES-VIa-VIIb-VIIc,Herring ICES VIa-VIIb-VIIc,European Union,65.77464262,425333.3333,MT,762166.6667,MT,41483.33333,MT,41483.33333,MT,Unknown,762166.6667,41483.33333,137265.9741,730851.598
COD5Zjm,164712,Gadus morhua,Atlantic cod,Canada-DFO-5Zjm,Atlantic cod NAFO 5Zjm,Canada East Coast,66.5212515,13250,MT,NA,NA,2738.333333,MT,2765,MT,VPA,13250,2738.333333,685.0088528,2824.778774
HERRRIGA,161722,Clupea harengus,Herring,multinational-ICES-28,Herring ICES 28,European Union,67.78956982,85533.33333,MT,138500,MT,37450,MT,37450,MT,Unknown,138500,37450,15485.91584,64465.22338
HAKENRTN,164795,Merluccius merluccius,Hake,multinational-ICES-IIIa-IV-VI-VII-VIIIabd,Hake Northeast Atlantic North,European Union,69.32316724,37650,MT,58600,MT,44066.66667,MT,42500,MT,Unknown,58600,44066.66667,25798.60378,219029.426
CODVIa,164712,Gadus morhua,Atlantic cod,multinational-ICES-VIa,Atlantic cod West of Scotland,European Union,72.02234009,5671.666667,MT,9795,MT,1900.666667,MT,1643.5,MT,Unknown,9795,1900.666667,3804.435218,10278.10789
HERRVIa,161722,Clupea harengus,Herring,multinational-ICES-VIa,Herring ICES VIa,European Union,72.02234009,128466.6667,MT,226166.6667,MT,NA,NA,23833.33333,MT,Unknown,226166.6667,23833.33333,128741.5475,690533.2852
WHITVIa,164758,Merlangius merlangus,Whiting,multinational-ICES-VIa,Whiting ICES VIa,European Union,72.02234009,11665,MT,18526.66667,MT,5605,MT,1620.333333,MT,Unknown,18526.66667,5605,49299.65675,278909.0675
CODGB,164712,Gadus morhua,Atlantic cod,USA-NMFS-5Z,Atlantic cod Georges Bank,US East Coast,72.34384167,17566.66667,MT,NA,NA,9135,MT,NA,NA,ASAP,17566.66667,9135,3478.114359,14342.73963
