"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"125","tlw","~","NPP",0,-0.181802231418061,0.219857732417457,-0.826908516789675,0.40828891575895,-0.181802231418061,-0.18178931560776,-0.18178931560776
"126","tlw","~","ER_log",0,-0.0184824247613892,0.219857709112433,-0.0840653931854511,0.933004439452956,-0.0184824247613892,-0.0184811136699992,-0.0184811136699992
"127","z_prod","~","NPP",0,0.859048219041846,0.203269906727526,4.22614558579673,2.37728218603905e-05,0.859048219041846,0.85904838215173,0.85904838215173
"128","z_prod","~","SST_time",0,-0.0836420525525465,0.203269885180818,-0.411482755933782,0.680718583124562,-0.0836420525525465,-0.0836420772999967,-0.0836420772999967
"129","NPP","~","SST_time",0,0.749073773425734,0.148136469170287,5.05664660175378,4.26692883914725e-07,0.749073773425734,0.74907385282792,0.74907385282792
"130","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"131","biomass","~~","biomass",0,0.443042530938437,0.140102349809108,3.16227766016838,0.0015654022580025,0.443042530938437,0.4726725870756,0.4726725870756
"132","tlw","~~","tlw",0,0.918411206940139,0.290427124255508,3.16227766016837,0.0015654022580025,0.918411206940139,0.966611093168379,0.966611093168379
"133","z_prod","~~","z_prod",0,0.344551327373206,0.108956696533365,3.16227766016838,0.0015654022580025,0.344551327373206,0.362685674655731,0.362685674655731
"134","NPP","~~","NPP",0,0.416944026289702,0.131849277987658,3.16227766016839,0.0015654022580025,0.416944026289702,0.438888363009535,0.438888363009535
"135","ER_log","~~","ER_log",0,0.950000386939377,0.300416500076971,3.16227766016838,0.0015654022580025,0.950000386939377,1,1
"136","SST_time","~~","SST_time",0,0.950000386939377,0.300416500076971,3.16227766016838,0.0015654022580025,0.950000386939377,1,1
"137","biomass","r2","biomass",0,0.5273274129244,NA,NA,NA,NA,NA,NA
"138","tlw","r2","tlw",0,0.0333889068316211,NA,NA,NA,NA,NA,NA
"139","z_prod","r2","z_prod",0,0.637314325344269,NA,NA,NA,NA,NA,NA
"140","NPP","r2","NPP",0,0.561111636990465,NA,NA,NA,NA,NA,NA
"141","biomass","~","tlw",0,-0.509571505544564,0.176246968820258,-2.89123557105961,0.00383730365079127,-0.509571505544564,-0.501386183352274,-0.501386183352274
"142","biomass","~","ER_log",0,-0.618028925356521,0.169387679676222,-3.64860612376212,0.000263666984510191,-0.618028925356521,-0.58079641838486,-0.58079641838486
"143","biomass","~","SST_time",0,-0.811298409798099,0.149922878507224,-5.411438319996,6.25205294202402e-08,-0.811298409798099,-0.762422584639139,-0.762422584639139
"144","biomass","~","z_prod",0,0.0404151409940241,0.150861261147514,0.267896083372296,0.788779308562578,0.0404151409940241,0.0379803665627793,0.0379803665627793
"145","tlw","~","NPP",0,-0.473367926193863,0.165704366341127,-2.85670158636234,0.00428068083068367,-0.473367926193863,-0.452112620183873,-0.452112620183873
"146","tlw","~","ER_log",0,-0.543638522739784,0.16570432854838,-3.28077442214227,0.00103522503320552,-0.543638522739784,-0.519228024133857,-0.519228024133857
"147","z_prod","~","NPP",0,1.00494698050471,0.184673368631023,5.44175366461524,5.27585983789436e-08,1.00494698050471,1.00494692282919,1.00494692282919
"148","z_prod","~","SST_time",0,-0.462405053430018,0.184673326511953,-2.50390818297243,0.0122829905257265,-0.462405053430018,-0.462405132354127,-0.462405132354127
"149","NPP","~","SST_time",0,0.66774317053389,0.162439527511118,4.11071849792341,3.94429835290921e-05,0.66774317053389,0.667743322828334,0.667743322828334
"150","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"151","biomass","~~","biomass",0,0.390234939461461,0.120429116862315,3.24037034920393,0.00119374544487205,0.390234939461461,0.361864150938175,0.361864150938175
"152","tlw","~~","tlw",0,0.549158673608197,0.169474045996967,3.24037034920394,0.00119374544487205,0.549158673608197,0.525996437624524,0.525996437624524
"153","z_prod","~~","z_prod",0,0.377956147208012,0.116639799305924,3.24037034920393,0.00119374544487205,0.377956147208012,0.39685395734912,0.39685395734912
"154","NPP","~~","NPP",0,0.52773217841142,0.162861686023349,3.24037034920394,0.00119374544487205,0.52773217841142,0.554118854818175,0.554118854818175
"155","ER_log","~~","ER_log",0,0.952381270815881,0.29391124105609,3.24037034920392,0.00119374544487205,0.952381270815881,1,1
"156","SST_time","~~","SST_time",0,0.952381270815881,0.29391124105609,3.24037034920393,0.00119374544487205,0.952381270815881,1,1
"157","biomass","r2","biomass",0,0.638135849061825,NA,NA,NA,NA,NA,NA
"158","tlw","r2","tlw",0,0.474003562375476,NA,NA,NA,NA,NA,NA
"159","z_prod","r2","z_prod",0,0.60314604265088,NA,NA,NA,NA,NA,NA
"160","NPP","r2","NPP",0,0.445881145181825,NA,NA,NA,NA,NA,NA
