"","lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"65","tlw","~","NPP",0,-0.345520692737008,0.129655790662662,-2.66490752916684,0.00770094951601918,-0.345520692737008,-0.342280277439658,-0.342280277439658
"66","tlw","~","ER_log",0,-0.439992183732873,0.129655782078166,-3.39354077913481,0.000689952851233411,-0.439992183732873,-0.435865810228772,-0.435865810228772
"67","z_prod","~","NPP",0,1.07243919801254,0.129199287332925,8.30065877413893,0,1.07243919801254,1.07243924329808,1.07243924329808
"68","z_prod","~","SST_time",0,-0.524349860944802,0.129199278778653,-4.05845811138875,4.93977917734867e-05,-0.524349860944802,-0.524349917803504,-0.524349917803504
"69","NPP","~","SST_time",0,0.697792636353125,0.110527448027258,6.31329727418511,2.73152167551416e-10,0.697792636353125,0.697792682553907,0.697792682553907
"70","ER_log","~~","SST_time",0,0,0,NA,NA,0,0,0
"71","biomass","~~","biomass",0,0.433919652106893,0.0946890310147022,4.58257569495583,4.59283371179176e-06,0.433919652106893,0.425250705819302,0.425250705819302
"72","tlw","~~","tlw",0,0.68923533216788,0.150403480061778,4.58257569495585,4.59283371179176e-06,0.68923533216788,0.692865207149447,0.692865207149447
"73","z_prod","~~","z_prod",0,0.351150722361379,0.0766273697885448,4.58257569495584,4.59283371179176e-06,0.351150722361379,0.359715537058321,0.359715537058321
"74","NPP","~~","NPP",0,0.500868869222092,0.109298547926532,4.58257569495584,4.59283371179176e-06,0.500868869222092,0.513085372174222,0.513085372174222
"75","ER_log","~~","ER_log",0,0.976190245737464,0.213022175893784,4.58257569495584,4.59283371179176e-06,0.976190245737464,1,1
"76","SST_time","~~","SST_time",0,0.976190245737464,0.213022175893785,4.58257569495582,4.59283371179176e-06,0.976190245737464,1,1
"77","biomass","r2","biomass",0,0.574749294180698,NA,NA,NA,NA,NA,NA
"78","tlw","r2","tlw",0,0.307134792850553,NA,NA,NA,NA,NA,NA
"79","z_prod","r2","z_prod",0,0.640284462941679,NA,NA,NA,NA,NA,NA
"80","NPP","r2","NPP",0,0.486914627825778,NA,NA,NA,NA,NA,NA
"81","biomass","~","tlw",0,-0.213297227322659,0.14310551005127,-1.49048927079217,0.136095635494347,-0.213297227322659,-0.197216009712204,-0.197216009712204
"82","biomass","~","ER_log",0,-0.493513622556788,0.141673523500043,-3.48345696757262,0.000494982688791223,-0.493513622556788,-0.456181872618705,-0.456181872618705
"83","biomass","~","SST_time",0,-0.723601039498678,0.145725363165885,-4.96551199995962,6.85200557848376e-07,-0.723601039498678,-0.668864367952405,-0.668864367952405
"84","biomass","~","z_prod",0,0.202873395534637,0.145809863882669,1.39135577067603,0.164117569668278,0.202873395534637,0.187527058194461,0.187527058194461
