"Family","Genus","Species","lme","fao","Subspecies"
"Gadidae","Pollachius","pollachius","24",27,""
"Congridae","Conger","conger","24",27,""
"Syngnathidae",NA,"","23",27,""
"Gobiidae","Gobius","","24",27,""
"Triglidae","Chelidonichthys","lastoviza","24",27,""
"Mugilidae","Chelon","labrosus","23",27,""
"Cottidae","Icelus","bicornis","22",27,""
"Ammodytidae","Ammodytes","","24",27,""
"Petromyzontidae","Petromyzon","marinus","24",27,""
"Callionymidae","Callionymus","","24",27,""
"Gobiidae","Pomatoschistus","norvegicus","22",27,""
"Stichaeidae","Chirolophis","ascanii","22",27,""
"Macrouridae","Coelorinchus","caelorhincus","22",27,""
"Lotidae","Enchelyopus","cimbrius","24",27,""
"Gobiidae","Pomatoschistus","","24",27,""
"Rajidae","Raja","brachyura","24",27,""
"Anguillidae","Anguilla","anguilla","24",27,""
"Lamnidae","Lamna","nasus","22",27,""
"Labridae","Labrus","mixtus","22",27,""
"Syngnathidae","Nerophis","lumbriciformis","22",27,""
"Atherinidae","Atherina","presbyter","24",27,""
"Blenniidae","Blennius","ocellaris","24",27,""
"Gobiesocidae","Lepadogaster","lepadogaster","22",27,""
"Scombridae","Sarda","sarda","22",27,""
"Polyprionidae","Polyprion","americanus","22",27,""
"Rajidae","Rajella","fyllae","22",27,""
"Atherinidae","Atherina","","22",27,""
"Rajidae","Dipturus","lintea","22",27,""
"Liparidae",NA,"","22",27,""
"Acipenseridae","Acipenser","sturio","22",27,""
"Gadidae","Trisopterus","esmarkii","23",27,""
"Osmeridae","Osmerus","eperlanus","23",27,""
"Gasterosteidae","Gasterosteus","aculeatus aculeatus","23",27,"aculeatus"
"Salmonidae","Coregonus","lavaretus","23",27,""
"Agonidae","Agonus","cataphractus","23",27,""
"Zoarcidae",NA,"","23",27,""
"Scophthalmidae","Lepidorhombus","whiffiagonis","23",27,""
"Pholidae","Pholis","gunnellus","23",27,""
"Gobiidae",NA,"","23",27,""
"Gasterosteidae","Spinachia","spinachia","23",27,""
"Labridae",NA,"","23",27,""
"Labridae",NA,"","22",27,""
