Family,Genus,Species,lme,fao,Subspecies
Scyliorhinidae,Scyliorhinus,canicula,22,27,
Scyliorhinidae,Scyliorhinus,stellaris,22,27,
Sebastidae,Helicolenus,dactylopterus,22,27,
Sebastidae,Helicolenus,dactylopterus,21,27,
Sebastidae,Helicolenus,dactylopterus,20,27,
Sebastidae,Sebastes,marinus,20,27,
Sebastidae,Sebastes,mentella,20,27,
Sebastidae,Sebastes,mentella,21,27,
Sebastidae,Sebastes,mentella,22,27,
Sebastidae,Sebastes,norvegicus,20,27,
Sebastidae,Sebastes,norvegicus,21,27,
Sebastidae,Sebastes,norvegicus,22,27,
Sebastidae,Sebastes,viviparus,20,27,
Sebastidae,Sebastes,viviparus,22,27,
Sebastidae,Sebastes,viviparus,21,27,
Sebastidae,Sebastes,,20,27,
Sebastidae,Sebastes,,21,27,
Sebastidae,Sebastes,,22,27,
Soleidae,Buglossidium,luteum,22,27,
Soleidae,Microchirus,variegatus,22,27,
Soleidae,Solea,solea,22,27,
Somniosidae,Somniosus,microcephalus,20,27,
Somniosidae,Somniosus,microcephalus,21,27,
Squalidae,Squalus,acanthias,20,27,
Squalidae,Squalus,acanthias,22,27,
Squalidae,Squalus,acanthias,21,27,
Sternoptychidae,Argyropelecus,hemigymnus,21,27,
Sternoptychidae,Argyropelecus,hemigymnus,22,27,
Sternoptychidae,Maurolicus,muelleri,22,27,
Sternoptychidae,Maurolicus,muelleri,20,27,
Sternoptychidae,Maurolicus,muelleri,21,27,
Sternoptychidae,NA,,22,27,
Stichaeidae,Anisarchus,medius,20,27,
Stichaeidae,Anisarchus,medius,22,27,
Stichaeidae,Chirolophis,ascanii,20,27,
Stichaeidae,Chirolophis,ascanii,22,27,
Stichaeidae,Chirolophis,ascanii,21,27,
Stichaeidae,Leptoclinus,maculatus,20,27,
Stichaeidae,Leptoclinus,maculatus,21,27,
Stichaeidae,Leptoclinus,maculatus,22,27,
Stichaeidae,Lumpenus,lampretaeformis,20,27,
Stichaeidae,Lumpenus,lampretaeformis,22,27,
Stichaeidae,Lumpenus,lampretaeformis,21,27,
Stichaeidae,NA,,20,27,
Stichaeidae,NA,,22,27,
Stichaeidae,NA,,21,27,
Synaphobranchidae,NA,,20,27,
Syngnathidae,Entelurus,aequoreus,22,27,
