family,genus,species,lme,fao,level,FB_E_Code,source,type.length,taxo,b,a
Zoarcidae,Lycodes,gracilis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Pholidae,Pholis,gunnellus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pholidae,Pholis,gunnellus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Triglidae,Eutrigla,gurnardus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Triglidae,Eutrigla,gurnardus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Triglidae,Eutrigla,gurnardus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Clupea,harengus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Clupea,harengus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Clupea,harengus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Clupea,harengus harengus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Clupea,harengus harengus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Clupea,harengus harengus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Sternoptychidae,Argyropelecus,hemigymnus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Sternoptychidae,Argyropelecus,hemigymnus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Reinhardtius,hippoglossoides,20,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Reinhardtius,hippoglossoides,21,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Reinhardtius,hippoglossoides,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Hippoglossus,hippoglossus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Hippoglossus,hippoglossus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Hippoglossus,hippoglossus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Amblyraja,hyperborea,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Amblyraja,hyperborea,21,27,species,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Hyperoplus,immaculatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Microstomus,kitt,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Microstomus,kitt,20,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Microstomus,kitt,21,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycenchelys,kolthoffi,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycenchelys,kolthoffi,21,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Lumpenus,lampretaeformis,20,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Lumpenus,lampretaeformis,22,27,species,NA,fb,TL,spe-LME,3,0.01
Stichaeidae,Lumpenus,lampretaeformis,21,27,species,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Hyperoplus,lanceolatus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Ammodytidae,Hyperoplus,lanceolatus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Bothidae,Arnoglossus,laterna,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Micrenophrys,lilljeborgii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Limanda,limanda,22,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Limanda,limanda,21,27,species,NA,fb,TL,spe-LME,3,0.01
Pleuronectidae,Limanda,limanda,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gobiidae,Crystallogobius,linearis,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Rajella,lintea,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Rajella,lintea,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Rajella,lintea,21,27,species,NA,fb,TL,spe-LME,3,0.01
